kword,engexp,mp3
여학생,female student,https://ko-audio.howtopronounce.com/b1d90fe6cb512264052f3a72f0830cb0.mp3
전학생,transfer student,0
복학생,student who has returned to school after a long break,0
교환학생,exchange student,https://ko-audio.howtopronounce.com/16521438936279b715ef2ff.mp3
학자,scholar,https://ko-audio.howtopronounce.com/8112f413966701687367659b2c928f92.mp3
장학금,scholarship,https://ko-audio.howtopronounce.com/175343600268834f62c46ed.mp3
학교,school,https://ko-audio.howtopronounce.com/1688030152649d4bc87894c.mp3
교장,"principal, headmaster (at a school)",https://ko-audio.howtopronounce.com/9328fa3d473a88fb03fdf7fff3a3e363.mp3
학년,"school year, grade (level)",https://ko-audio.howtopronounce.com/f1d5a82b2de8b31e354221a1691d0388.mp3
학기,semester,https://ko-audio.howtopronounce.com/1748770151683c1d67b7d71.mp3
기말/학기말,"end of a term, end of a semester",0
방학,vacation (from school),https://ko-audio.howtopronounce.com/c1af9fbf1140c83070015b1b22d70413.mp3
강의,"lecture, class (college)",https://ko-audio.howtopronounce.com/7f69f2b761e5f989787c7ce8b9a2d0f1.mp3
강의실,"lecture room, classroom (college)",https://ko-audio.howtopronounce.com/1751032137685ea14930262.mp3
강연회,lecture meeting (less common),0
교실,classroom (not college),https://ko-audio.howtopronounce.com/23ab4665a37112ab9d711c33a6f34aa6.mp3
수업,"class, lesson, course (up to highschool)",https://ko-audio.howtopronounce.com/169708209665276af0bda51.mp3
반,"half; group, class",https://ko-audio.howtopronounce.com/1753889867688a3c4bd395f.mp3
클래스,class (not school/e.g. class based on skill or quality),https://ko-audio.howtopronounce.com/3ea952883741b32ec8fb42c0797df43c.mp3
레슨,"lesson, private lesson (not school subjects; instruments etc)",https://ko-audio.howtopronounce.com/16056811745fb4c0167d945.mp3
과외,"private lessons, tutoring; extra work",{{ voice.current_audio_url }}
유학,studying abroad,https://ko-audio.howtopronounce.com/16051520235facad171e753.mp3
전학,act of transferring schools,0
동창회,"alumni meeting, class reunion",https://ko-audio.howtopronounce.com/1749758858684b338ab7c63.mp3
과목,"subject, course",https://ko-audio.howtopronounce.com/175542849568a1b68fc4db7.mp3
경영학,business administration (field of study),https://ko-audio.howtopronounce.com/170597419265af19b01427a.mp3
수학,mathematics; study,https://ko-audio.howtopronounce.com/15843335885e6f03145942a.mp3
과학,science,https://ko-audio.howtopronounce.com/3919e7a16be1fd5d9454f522c060344a.mp3
역사,history,https://ko-audio.howtopronounce.com/c29348b559867f756900ce213e35e7b9.mp3
문학,literature,https://ko-audio.howtopronounce.com/0b384b00092ecbf2d8f6e10f7c2b4fe1.mp3
심리학,psychology,https://ko-audio.howtopronounce.com/17642666396928928fa7659.mp3
체육,"physical education, physical training, physical activity",https://ko-audio.howtopronounce.com/abc5c9eaf9656461ea8ef5ef3999c893.mp3
체육관,gym (for sports),https://ko-audio.howtopronounce.com/16030068415f8bf179d289d.mp3
시,"poem; time, hour; o'clock; city",https://ko-audio.howtopronounce.com/16539194676294ceebd30a0.mp3
소설,novel; fiction,https://ko-audio.howtopronounce.com/17513040486862c770cc981.mp3
편지,"letter, note",https://ko-audio.howtopronounce.com/16856926906479a112cd69c.mp3
엽서,postcard,https://ko-audio.howtopronounce.com/55dfd68675e4cf94d9686d8e4f8e199c.mp3
캠퍼스,campus,https://ko-audio.howtopronounce.com/3f9d3cd900ec27ed16d41ca668ee8663.mp3
도서관,library,https://ko-audio.howtopronounce.com/b21275073c55e46e9d239c42240f85b6.mp3
독서실,"reading room, study room",https://ko-audio.howtopronounce.com/16072161365fcc2c084b421.mp3
공부,studying,https://ko-audio.howtopronounce.com/167586368063e3a68082a72.mp3
교과서,textbook,https://ko-audio.howtopronounce.com/d6bf0e849f53a2d9e8f160d4240284da.mp3
책,book,https://ko-audio.howtopronounce.com/16632312196322e4f306de0.mp3
신간,new book,{{ voice.current_audio_url }}
책장,"(bigger) bookshelf, bookcase; the page of a book",https://ko-audio.howtopronounce.com/15841616655e6c638189e3d.mp3
책꽂이,bookshelf,https://ko-audio.howtopronounce.com/16990713796545c593b82c1.mp3
학습,"learning, studies",https://ko-audio.howtopronounce.com/15754354115de73c93e0236.mp3
독학,"self-study, self education",https://ko-audio.howtopronounce.com/15795494885e260330276ba.mp3
연구,"research (into/on), study (of/into/on)",https://ko-audio.howtopronounce.com/db8abac2de7f1f8e414b500af3c40ff0.mp3
시험,"exam, test",https://ko-audio.howtopronounce.com/1628243794610d075251abc.mp3
시험지,test paper,0
정답,correct answer,https://ko-audio.howtopronounce.com/16024966935f8428b57a3a5.mp3
오답,"wrong answer, incorrect answer",0
숙제,"homework, assignment",https://ko-audio.howtopronounce.com/1752169065686ffa69607c5.mp3
과제,"task, assignment, project, homework; problem",{{ voice.current_audio_url }}
종이,paper,https://ko-audio.howtopronounce.com/169905319765457e8d37c2a.mp3
서류,"documents, papers (plural)",https://ko-audio.howtopronounce.com/f307c53285b446b9692d6373849a6ce8.mp3
문서,"document, papers (singular)",https://ko-audio.howtopronounce.com/51fa3f5310a6b5749b5659f6c9ab8b51.mp3
보고서,"report, paper",https://ko-audio.howtopronounce.com/1636467121618a81b18c009.mp3
논문,"thesis, research paper",https://ko-audio.howtopronounce.com/1754932566689a255602945.mp3
수필,essay (that a writer would write),0
글,"writing, (a piece of) writing",https://ko-audio.howtopronounce.com/15797751575e2974b595b00.mp3
글씨,handwriting,https://ko-audio.howtopronounce.com/15843218985e6ed56a10d95.mp3
글자,"letter, characters (of a language)",https://ko-audio.howtopronounce.com/16045001555fa2babb1cf0f.mp3
문자,"letters, characters, alphabet, writing system; big words; text message",https://ko-audio.howtopronounce.com/1668233764636f3a2455565.mp3
문장,sentence; a good writer; crest,https://ko-audio.howtopronounce.com/de644ce43634a4689889a8400cba6d28.mp3
예문,example in sentence(s),0
문구,"writing supplies; phrase, sentence, expression",https://ko-audio.howtopronounce.com/1752061577686e5689f3b0a.mp3
공책,notebook,https://ko-audio.howtopronounce.com/175950004368dfd70be29f2.mp3
페이지,page,https://ko-audio.howtopronounce.com/578c13cab930ba523b9dc58855ed6d36.mp3
계산기,calculator,https://ko-audio.howtopronounce.com/175588350868a8a7f468288.mp3
책상,desk,https://ko-audio.howtopronounce.com/625a3ca6437e05a399da950418f87146.mp3
연필,pencil,https://ko-audio.howtopronounce.com/7dbb91318b6fcae6f3fbb9597a81d1b8.mp3
펜,pen,https://ko-audio.howtopronounce.com/169052351864c3577ea82ab.mp3
만년필,fountain pen,https://ko-audio.howtopronounce.com/17535222506884a04ac411d.mp3
필통,pencil case,0
지우개,"eraser, rubber",https://ko-audio.howtopronounce.com/1671086001639abfb155d2c.mp3
